"Yes","Oui"
"No","Non"
"Title","Titre"
"Sort Order","Ordre de tri"

"<span style=""color:red"">Do not use the ""test"" environment on production site. Payments will <strong>not</strong> be satisfied.</span>","<span style=""color:red"">Ne pas utiliser l'environnement ""test"" sur le site de production. Les paiements ne se feront <strong>pas</strong>."
"Merchant information","Information sur le commerçant"
"Pending Payment","Paiement en attente"
"Awaiting payment","En attente de paiement"
"Payment Validated Status","Statut du paiement validé"
"Payment Refused Status","Statut du paiement refusé"
"Payment Error Status","Statut du paiement en erreur"
"On Hold","En attente"
"Bank card payment","Paiement par carte bancaire"
"Payment action","Exécution du paiement"
"Manual debit","Débit manuel"
"Automatic debit","Débit automatique"
"Automatic capture status","Statut de commande déclanchant la capture"
"Manual capture only","Capture manuelle seulement"
"On order state change","Capture automatique au changement de statut"
"Status","Statut"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Specific Countries","Certains pays"
"All Allowed Countries","Tous les pays autorisés"
"3-D Secure Card validation","Validation de carte 3-D Secure"
"<span style=""color: red;"">Warning: your bank may enforce 3-D Secure.<br/>Make sure your setup is coherent with your bank, Verifone e-commerce and Magento module.</span>","<span style=""color: red;"">Attention : votre banque peut vous imposer 3-D Secure et/ou vous interdire le mode Sélectif.<br/>Assurez-vous que le paramétrage est cohérent entre votre Banque, Verifone e-commerce et le module Magento.</span>"
"Never","Jamais"
"Always","Toujours"
"Conditional","Conditionnel"
"Paypal payment","Paiement par Paypal"
"This payment method is only available if you have subscribed to Verifone e-commerce System.","Cette méthode de paiement n'est utilisable que si vous avez souscrit à Verifone e-commerce System"
"Payment delay","Délai de paiement"
"Immediate","Immédiat"
"Other cards","Autres cartes"
"This payment method is only available if you have subscribed to Verifone e-commerce Direct.","Cette méthode de paiement n'est utilisable que si vous avez souscrit à Verifone e-commerce Direct"
"Minimum Order Total","Montant minimum de commande"
"Maximum Order Total","Montant maximum de commande"
"Number of orders","Nombre de commandes"
"Leetchi payment","Paiement par cagnotte Leetchi"

"Not achieved","Non réalisé"
"%s the %s","%s le %s"
"Transaction number","Numéro de transaction"
"Verifone e-commerce Back Office Reference","Référence du Back-Office Verifone e-commerce"
"Payment method","Moyen de paiement"
"Country of IP","Pays de l'IP"
"Processing date","Date de traitement"
"Debit type","Type de débit"
"First debit","Premier débit"
"Second debit","Deuxième débit"
"Third debit","Troisième débit"
"Card country","Pays de la carte"
"Card numbers","Numéros de la carte"
"Validity date","Date de validité"
"Total Debit","Débit total"
"Partial debit","Débit partiel"
"Refund","Remboursement"

"This is a debug view. Click continue to be redirected to Verifone e-commerce payment page.","Ceci est une vue de débogage. Cliquez sur le bouton pour être redirigé vers la page de paiement de Verifone e-commerce."
"You will be redirected to the Verifone e-commerce payment page. If not, please use the button bellow.","Vous allez être automatiquement redirigé vers la page de paiement de Verifone e-commerce. Si la redirection n'a pas lieu rapidement, veuillez utiliser le bouton ci-dessous."
"Continue...","Continuer..."

"Secrete HMAC key to create using the Verifone e-commerce interface.","Clé secrète HMAC à générer depuis le Back-Office Verifone e-commerce."
"By enabling this feature, an invoice is automatically generated when the payment is accepted by Verifone e-commerce","En activant cette fonctionnalité, une facture est automatiquement générée quand le paiement est accepté par Verifone e-commerce."
"In test mode your payments will not be sent to the bank.","En mode test vos paiements ne sont pas envoyés en banque."
"Ex: if you enter ""1"", 3-D Secure will be disabled starting from the second order","Ex : si vous saisissez ""1"", alors 3-D Secure sera désactivé à partir de la deuxième commande."
"Internal login provided by Verifone e-commerce.","Identifiant interne délivré par Verifone e-commerce."
"Back Office password provided by Verifone e-commerce.","Mot de passe du Back-Office délivé par Verifone e-commerce."
"Rank number provided by Verifone e-commerce (last 2 digits).","Numéro de rang délivré par Verifone e-commerce (les 2 derniers chiffres)."
"Site number provided by Verifone e-commerce.","Numéro de site délivré par Verifone e-commerce."
"If you disable E-Carte Bleu, contact the Verifone e-commerce support","Si vous désactivez E-Carte bleue, veuillez contacter le support Verifone e-commerce (cf. documentation)."
